INT	STRING	INT	INT	INT	INT	FLOAT	INT	FLOAT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
ID	名称	脚本ID	类型	停站时间(毫秒)	模型数据ID	模型高度	准乘人数	行驶速度	动作表编号0	绑定点名称0	动作表编号1	绑定点名称1	动作表编号2	绑定点名称2	动作表编号3	绑定点名称3	动作表编号4	绑定点名称4	动作表编号5	绑定点名称5	动作表编号6	绑定点名称6	动作表编号7	绑定点名称7
0	单程车	-1	0	0	1018	3.000000	1	6.000000	6	attach1	-1		-1		-1		-1		-1		-1		-1
1	往返车	-1	1	30000	1018	3.000000	4	6.000000	6	attach1	6	attach1	6	attach1	6	attach1	-1		-1		-1		-1
2	交通工具_鹰	-1	1	20000	1021	3.000000	2	12.000000	31	骑乘点01	31	骑乘点02	-1		-1		-1		-1		-1		-1
3	低级花车	800200	0	0	1022	4.000000	2	2.000000	30	骑乘点01	30	骑乘点02	-1		-1		-1		-1		-1		-1
4	中级花车	800201	0	0	1023	4.000000	2	2.000000	30	骑乘点01	30	骑乘点02	-1		-1		-1		-1		-1		-1
5	高级花车	800202	0	0	1024	4.000000	2	2.000000	30	骑乘点01	30	骑乘点02	-1		-1		-1		-1		-1		-1
6	骑鲤鱼的小孩	-1	0	0	2977	3.000000	1	2.000000	6	attach1	-1		-1		-1		-1		-1		-1		-1
7	金羽	-1	0	0	5062	6.000000	1	8.000000	28	attach1	-1		-1		-1		-1		-1		-1		-1
8	兵圣BUS	-1	0	0	5062	6.000000	1	8.000000	28	attach1	-1		-1		-1		-1		-1		-1		-1
9	大理巡游大雕	-1	0	0	1021	3.000000	1	12.000000	31	骑乘点01	31		-1		-1		-1		-1		-1		-1
10	前往段延庆专用	-1	0	0	1021	3.000000	1	12.000000	31	骑乘点01	31		-1		-1		-1		-1		-1		-1
11	金羽（KVK剧情引导）	-1	0	0	5062	6.000000	1	8.000000	28	attach1	-1		-1		-1		-1		-1		-1		-1
