INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
21	Viêm Nh§t	4	-1	-1	-1	-1	22	764	36	286	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	Lãnh Nguy®t	4	-1	-1	-1	-1	9	48	19	768	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	CØu Dß½ng	5	-1	-1	-1	-1	42	80	46	66	37	14	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	Hàng Long	3	-1	-1	-1	-1	19	96	46	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	Ti«m Long	3	-1	-1	-1	-1	44	18	36	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	Kiªn Long	4	-1	-1	-1	-1	47	6	48	4	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	Long Chiªn	3	-1	-1	-1	-1	46	18	44	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	Th¥n Long	4	-1	-1	-1	-1	19	394	16	4	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	Tù Long	5	-1	-1	-1	-1	47	10	15	10	37	10	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	Thång Long	4	-1	-1	-1	-1	19	544	46	32	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	Du Long	5	-1	-1	-1	-1	44	64	19	618	22	614	20	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	C¥m Long	6	-1	-1	-1	-1	19	692	47	12	36	258	37	12	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	Ð° Long	4	-1	-1	-1	-1	22	764	36	286	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	Träm Long	4	-1	-1	-1	-1	35	854	19	768	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	Côn B¢ng	5	-1	-1	-1	-1	44	80	46	66	37	14	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	Vô Cñc	3	-1	-1	-1	-1	26	96	43	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	LßÞng nghi	3	-1	-1	-1	-1	46	10	3	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	TÑ Tßþng	4	-1	-1	-1	-1	47	6	48	4	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	Løc Hþp	3	-1	-1	-1	-1	43	34	46	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	Bát quái	4	-1	-1	-1	-1	26	394	13	4	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
41	Âm Dß½ng	5	-1	-1	-1	-1	47	10	12	10	37	10	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	Hình Ý	4	-1	-1	-1	-1	26	544	43	58	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	Ngû Hành	5	-1	-1	-1	-1	43	66	26	618	22	614	27	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	Thái Cñc	6	-1	-1	-1	-1	26	692	47	12	3	4034	37	12	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	Hàn Vø	4	-1	-1	-1	-1	29	764	36	286	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
46	Thüy Di®u	4	-1	-1	-1	-1	12	48	26	768	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	Huy«n C½	5	-1	-1	-1	-1	43	80	46	66	37	14	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	CØu Âm	3	-1	-1	-1	-1	29	92	44	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	Thü Tâm	3	-1	-1	-1	-1	45	18	0	1932	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	CØu Änh	4	-1	-1	-1	-1	47	6	48	4	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	Nhiªp H°n	3	-1	-1	-1	-1	44	34	45	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	Kh¯ng HÕc	4	-1	-1	-1	-1	29	392	7	4	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	Phiêu Tuyªt	5	-1	-1	-1	-1	47	10	6	10	37	10	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
54	HÕc Änh	4	-1	-1	-1	-1	29	540	44	56	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	Ng÷c Næ	5	-1	-1	-1	-1	44	64	29	614	26	618	4	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
56	H°i Tâm	6	-1	-1	-1	-1	29	690	47	12	0	7838	37	12	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	T¯ Næ	4	-1	-1	-1	-1	29	764	3	4466	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	Träm Tình	4	-1	-1	-1	-1	6	48	26	768	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
59	Th¥n Ph®	5	-1	-1	-1	-1	43	80	45	80	37	14	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
60	Trích Tinh	3	-1	-1	-1	-1	26	96	46	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	Tam Âm	3	-1	-1	-1	-1	44	18	3	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
62	Tr×u Tüy	4	-1	-1	-1	-1	47	6	48	4	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	Tri«n H°n	3	-1	-1	-1	-1	46	18	44	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
64	Töa H°n	4	-1	-1	-1	-1	26	394	16	4	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
65	ÐoÕt H°n	5	-1	-1	-1	-1	47	10	15	10	37	10	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
66	Luy®n Tâm	4	-1	-1	-1	-1	26	544	46	32	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
67	Bích Di®m	5	-1	-1	-1	-1	44	64	26	618	29	614	27	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
68	Th¥n Mµc	6	-1	-1	-1	-1	26	692	47	12	3	4034	37	12	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
69	Tam Tiªu	4	-1	-1	-1	-1	29	764	0	8680	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
70	Tàn h°n	4	-1	-1	-1	-1	15	48	26	768	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
71	Lßu H°n	5	-1	-1	-1	-1	43	80	44	80	37	14	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
72	ÐÕp Tuyªt	3	-1	-1	-1	-1	19	96	46	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
73	Táng Hoa	3	-1	-1	-1	-1	42	20	35	182	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
74	Quy¬n Vô	4	-1	-1	-1	-1	47	6	48	4	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
75	Chân Thüy	3	-1	-1	-1	-1	46	18	42	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
76	Bát Hoang	4	-1	-1	-1	-1	19	394	7	4	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
77	Løc Dß½ng	5	-1	-1	-1	-1	47	10	6	10	37	10	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
78	Nguy®t Phàm	4	-1	-1	-1	-1	19	544	46	32	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
79	Ð¸a HÕc	5	-1	-1	-1	-1	42	66	19	618	29	614	20	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
80	Tâm Vân	6	-1	-1	-1	-1	19	692	47	12	35	770	37	12	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
81	Toái H°n	4	-1	-1	-1	-1	22	764	36	286	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
82	Trì H°i	4	-1	-1	-1	-1	19	768	37	14	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
83	Bích LÕc	5	-1	-1	-1	-1	46	66	42	80	37	14	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
84	B¡c Minh	3	-1	-1	-1	-1	22	92	43	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
85	Lång Ba	3	-1	-1	-1	-1	45	18	36	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
86	Thß½ng Trúc	4	-1	-1	-1	-1	47	6	48	4	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
87	Chiªt Mai	3	-1	-1	-1	-1	43	34	45	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
88	Thu¥n Dß½ng	4	-1	-1	-1	-1	22	392	10	4	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
89	LÕc Anh	5	-1	-1	-1	-1	47	10	9	10	37	10	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
90	Ðµn Giáp	4	-1	-1	-1	-1	22	540	43	58	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
91	Tru Tiên	5	-1	-1	-1	-1	43	66	22	614	26	618	4	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
92	Lång Yên	6	-1	-1	-1	-1	22	690	47	12	36	258	37	12	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
93	Vô Nhai	4	-1	-1	-1	-1	29	764	3	4466	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
94	Thu Thüy	4	-1	-1	-1	-1	9	48	26	768	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
95	Hành Vân	5	-1	-1	-1	-1	43	80	45	80	37	14	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
96	Chính Dß½ng	3	-1	-1	-1	-1	29	92	44	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
97	Nh¤t Dß½ng	3	-1	-1	-1	-1	44	18	0	1932	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
98	Trung Xung	4	-1	-1	-1	-1	47	6	48	4	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
99	Thiªu Thß½ng	3	-1	-1	-1	-1	44	34	44	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100	Thiªu Dß½ng	4	-1	-1	-1	-1	29	392	32	2	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
101	Thß½ng Dß½ng	5	-1	-1	-1	-1	47	10	25	3	37	10	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
102	Quan Trung	4	-1	-1	-1	-1	29	540	44	56	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
103	Thiªu TrÕch	5	-1	-1	-1	-1	44	64	29	614	22	614	23	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
104	Thiên Nam	6	-1	-1	-1	-1	29	690	47	12	0	7838	37	12	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
105	Tuyªt Nguy®t	4	-1	-1	-1	-1	22	764	29	764	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
106	Khô Tâm	4	-1	-1	-1	-1	19	768	26	768	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
107	Thß½ng Ng÷c	5	-1	-1	-1	-1	44	80	46	66	37	14	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
108	Ban t£ng bµ Tinh Phß·ng	4	-1	-1	-1	-1	22	108	44	12	0	1258	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
109	Ban t£ng bµ Thøc Ð°ng	4	-1	-1	-1	-1	42	16	35	156	0	1680	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
110	Ban t£ng bµ Tinh Cß½ng	4	-1	-1	-1	-1	42	26	35	258	0	2692	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
111	Ban t£ng bµ Hoàng Kim	5	-1	-1	-1	-1	42	34	35	342	0	3536	36	114	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
112	Ban t£ng bµ H²n Ðµn	5	-1	-1	-1	-1	42	42	35	426	0	4378	36	142	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
113	Ban t£ng bµ Phi H±	6	-1	-1	-1	-1	42	50	35	510	0	5222	36	170	19	462	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
114	Ban t£ng bµ Thiên Uy	6	-1	-1	-1	-1	42	56	35	594	0	6066	36	198	19	536	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
115	Ban t£ng bµ Tám Ti	4	-1	-1	-1	-1	43	16	35	156	3	870	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
116	Ban t£ng bµ Linh La	4	-1	-1	-1	-1	43	26	35	258	3	1390	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
117	Ban t£ng bµ Thøc C¦m	5	-1	-1	-1	-1	43	34	35	342	3	1824	36	114	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
118	Ban t£ng bµ Huy«n Minh	5	-1	-1	-1	-1	43	42	35	426	3	2256	36	142	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
119	Ban t£ng bµ Ð¢ng Long	6	-1	-1	-1	-1	43	50	35	510	3	2690	36	170	26	462	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
